Category,Food name en_GB,Food name en_US,Food name en_CA,Food name en_AU,Food name en_NZ,Food name en_IE,Overall status,Small portion desc,Large portion desc,Small portion oligos,Small portion fructose,Small portion polyols,Small portion lactose,Large portion oligos,Large portion fructose,Large portion polyols,Large portion lactose,Notes
bread_cereal_rice_pasta,Gluten free low GI high fibre bread,Gluten free low GI high fibre bread,Gluten free low GI high fibre bread,Gluten free low GI high fibre bread,Gluten free low GI high fibre bread,Gluten free low GI high fibre bread,low,One slice (32g),Two slices (64g),low,low,low,low,low,low,low,low,
bread_cereal_rice_pasta,Gluten free multigrain bread,Gluten free multigrain bread,Gluten free multigrain bread,Gluten free multigrain bread,Gluten free multigrain bread,Gluten free multigrain bread,medium,One slice (37g),Two slices (73g),low,low,low,low,medium,medium,low,low,
bread_cereal_rice_pasta,Gluten free pasta,Gluten free pasta,Gluten free pasta,Gluten free pasta,Gluten free pasta,Gluten free pasta,low,Half a cup (73g),One cup (145g),low,low,low,low,low,low,low,low,Larger servings (one and a half cups or more) should be avoided
bread_cereal_rice_pasta,"Gluten free plain flour (rice flour\\\\, potato and tapioca starch)","Gluten free plain flour (rice flour\\\\, potato and tapioca starch)","Gluten free plain flour (rice flour\\\\, potato and tapioca starch)","Gluten free plain flour (rice flour\\\\, potato and tapioca starch)","Gluten free plain flour (rice flour\\\\, potato and tapioca starch)","Gluten free plain flour (rice flour\\\\, potato and tapioca starch)",low,Two thirds of a cup (100g),n/a,low,low,low,low,n/a,n/a,n/a,n/a,
bread_cereal_rice_pasta,Gluten free rice chia bread,Gluten free rice chia bread,Gluten free rice chia bread,Gluten free rice chia bread,Gluten free rice chia bread,Gluten free rice chia bread,medium,One slice (43g),Two slices (86g),low,low,low,low,medium,low,low,low,
fruit,Goji berries (dried),Goji berries (dried),Goji berries (dried),Goji berries (dried),Goji berries (dried),Goji berries (dried),high,One tablespoon (12g),Two tablespoons (24g),low,low,low,low,high,low,low,low,
confectionery_sugars_sweeteners,Golden syrup,Golden syrup,Golden syrup,Golden syrup,Golden syrup,Golden syrup,high,Half a tablespoon (7g),One tablespoon (15g),low,low,low,low,high,low,low,low,
condiments,Goraka,Goraka,Goraka,Goraka,Goraka,Goraka,low,Half an average piece (1g),One average piece (2g),low,low,low,low,low,low,low,low,
condiments,Gotukala / gotu kola,Gotukala / gotu kola,Gotukala / gotu kola,Gotukala / gotu kola,Gotukala / gotu kola,Gotukala / gotu kola,low,Quarter of a bundle (13g),Half a bundle (26g),low,low,low,low,low,low,low,low,
confectionery_sugars_sweeteners,Granulated white sugar,Granulated white sugar,Granulated white sugar,Granulated white sugar,Granulated white sugar,Granulated white sugar,low,Half a tablespoon (7g),One tablespoon (14g),low,low,low,low,low,low,low,low,
fruit,Grapefruit,Grapefruit,Grapefruit,Grapefruit,Grapefruit,Grapefruit,high,Small serving (80g),One medium grapefruit (207g),low,low,low,low,high,low,low,low,
fruit,Grapes (black muscat),Grapes (black muscat),Grapes (black muscat),Grapes (black muscat),Grapes (black muscat),Grapes (black muscat),low,Half a cup (75g),One cup (150g),low,low,low,low,low,low,low,low,
fruit,Grapes (ralli seedless),Grapes (ralli seedless),Grapes (ralli seedless),Grapes (ralli seedless),Grapes (ralli seedless),Grapes (ralli seedless),low,Half a cup (75g),One cup (150g),low,low,low,low,low,low,low,low,
fruit,Grapes (red globe),Grapes (red globe),Grapes (red globe),Grapes (red globe),Grapes (red globe),Grapes (red globe),low,Half a cup (75g),One cup (150g),low,low,low,low,low,low,low,low,
fruit,Grapes (red),Grapes (red),Grapes (red),Grapes (red),Grapes (red),Grapes (red),low,Half a cup (75g),One cup (150g),low,low,low,low,low,low,low,low,
fruit,"Grapes (white\\\\, Thompson seedless)","Grapes (white\\\\, Thompson seedless)","Grapes (white\\\\, Thompson seedless)","Grapes (white\\\\, Thompson seedless)","Grapes (white\\\\, Thompson seedless)","Grapes (white\\\\, Thompson seedless)",low,Half a cup (75g),One cup (150g),low,low,low,low,low,low,low,low,
bread_cereal_rice_pasta,Green banana flour,Green banana flour,Green banana flour,Green banana flour,Green banana flour,Green banana flour,low,Two thirds of a cup (100g),n/a,low,low,low,low,n/a,n/a,n/a,n/a,
vegetables,Green beans,Green beans,Green beans,Green beans,Green beans,Green beans,low,Six beans (43g),Twelve beans (86g),low,low,low,low,low,low,low,low,Larger servings (125g or more) should be avoided
vegetables,Green pepper,Bell pepper (green),Green pepper,Capsicum (green),Capsicum (green),Green pepper,low,Quarter of a cup (26g),Half a cup (52g),low,low,low,low,low,low,low,low,Larger servings (80g or more) should be avoided
fruit,Guava (ripe),Guava (ripe),Guava (ripe),Guava (ripe),Guava (ripe),Guava (ripe),low,Half a medium fruit (117g),One medium fruit (235g),low,low,low,low,low,low,low,low,
fruit,Guava (unripe),Guava (unripe),Guava (unripe),Guava (unripe),Guava (unripe),Guava (unripe),high,Quarter of a medium fruit (59g),Half a medium fruit (117g),low,high,low,low,low,high,low,low,
nuts_seeds,Haricot beans (boiled),"Navy beans (haricot beans\\\\, boiled)","Navy beans (haricot beans\\\\, boiled)",Haricot beans (boiled),Haricot beans (boiled),Haricot beans (boiled),high,Quarter of a cup (44g),Half a cup (88g),high,low,low,low,high,low,low,low,
nuts_seeds,Hazelnuts,Hazelnuts,Hazelnuts,Hazelnuts,Hazelnuts,Hazelnuts,medium,Ten nuts (15g),Twenty nuts (30g),low,low,low,low,medium,low,low,low,Larger servings (100g or more) should be avoided
nuts_seeds,Hemp seeds,Hemp seeds,Hemp seeds,Hemp seeds,Hemp seeds,Hemp seeds,low,One serving (28g),n/a,low,low,low,low,n/a,n/a,n/a,n/a,Larger servings (50g or more) should be avoided
condiments,Honey,Honey,Honey,Honey,Honey,Honey,high,One tablespoon (28g),Two tablespoons (58g),low,high,low,low,low,high,low,low,
fruit,Honeydew melon ,Honeydew melon ,Honeydew melon ,Honeydew melon ,Honeydew melon ,Honeydew melon ,low,Quarter of a cup (45g),Half a cup (90g),low,low,low,low,low,low,low,low,Larger servings (135g or more) should be avoided
condiments,Horseradish sauce,Horseradish sauce,Horseradish sauce,Horseradish sauce,Horseradish sauce,Horseradish sauce,low,Two tablespoons,n/a,low,low,low,low,n/a,n/a,n/a,n/a,Larger servings (90g or more) should be avoided
drinks,"Hot chocolate (drinking chocolate powder\\\\, 23% cocoa) ","Hot chocolate (drinking chocolate powder\\\\, 23% cocoa) ","Hot chocolate (drinking chocolate powder\\\\, 23% cocoa) ","Hot chocolate (drinking chocolate powder\\\\, 23% cocoa) ","Hot chocolate (drinking chocolate powder\\\\, 23% cocoa) ","Hot chocolate (drinking chocolate powder\\\\, 23% cocoa) ",low,One heaped teaspoon (5g),Two heaped teaspoons (10g),low,low,low,low,low,low,low,low,Larger servings (100g or more) should be avoided
drinks,"Hot chocolate (drinking chocolate powder\\\\, 60% cocoa) ","Hot chocolate (drinking chocolate powder\\\\, 60% cocoa) ","Hot chocolate (drinking chocolate powder\\\\, 60% cocoa) ","Hot chocolate (drinking chocolate powder\\\\, 60% cocoa) ","Hot chocolate (drinking chocolate powder\\\\, 60% cocoa) ","Hot chocolate (drinking chocolate powder\\\\, 60% cocoa) ",low,One heaped teaspoon (5g),Two heaped teaspoons (10g),low,low,low,low,low,low,low,low,Larger servings (100g or more) should be avoided
drinks,"Hot chocolate (drinking chocolate powder\\\\, 70% cocoa) ","Hot chocolate (drinking chocolate powder\\\\, 70% cocoa) ","Hot chocolate (drinking chocolate powder\\\\, 70% cocoa) ","Hot chocolate (drinking chocolate powder\\\\, 70% cocoa) ","Hot chocolate (drinking chocolate powder\\\\, 70% cocoa) ","Hot chocolate (drinking chocolate powder\\\\, 70% cocoa) ",low,One heaped teaspoon (5g),Two heaped teaspoons (10g),low,low,low,low,low,low,low,low,Larger servings (100g or more) should be avoided
bread_cereal_rice_pasta,Hulled millet,Hulled millet,Hulled millet,Hulled millet,Hulled millet,Hulled millet,low,Half a cup (91g),One cup (184g),low,low,low,low,low,low,low,low,
condiments,Hummus dip,Hummus dip,Hummus dip,Hummus dip,Hummus dip,Hummus dip,high,One tablespoon (20g),Two tablespoons (40g),medium,low,low,low,high,low,low,low,
dairy,Ice cream (vanilla),Ice cream (vanilla),Ice cream (vanilla),Ice cream (vanilla),Ice cream (vanilla),Ice cream (vanilla),medium,One level scoop (44g),Two level scoops (88g),low,low,low,medium,low,low,low,medium,
confectionery_sugars_sweeteners,Icing sugar,Icing sugar,Icing sugar,Icing sugar,Icing sugar,Icing sugar,low,One tablespoon (16g),n/a,low,low,low,low,n/a,n/a,n/a,n/a,
confectionery_sugars_sweeteners,"Instant jelly (diet\\\\, lime)","Instant jello (diet\\\\, lime)","Instant jello (diet\\\\, lime)","Instant jelly (diet\\\\, lime)","Instant jelly (diet\\\\, lime)","Instant jelly (diet\\\\, lime)",low,Quarter of a packet (125ml),Half a packet (250ml),low,low,low,low,low,low,low,low,
confectionery_sugars_sweeteners,Instant jelly (raspberry),Instant jello (raspberry),Instant jello (raspberry),Instant jelly (raspberry),Instant jelly (raspberry),Instant jelly (raspberry),low,Quarter of a packet (125ml),Half a packet (250ml),low,low,low,low,low,low,low,low,
confectionery_sugars_sweeteners,Instant jelly (strawberry),Instant jello (strawberry),Instant jello (strawberry),Instant jelly (strawberry),Instant jelly (strawberry),Instant jelly (strawberry),low,Quarter of a packet (125ml),Half a packet (250ml),low,low,low,low,low,low,low,low,
vegetables,Japanese pumpkin (kabocha squash),Japanese pumpkin (kabocha squash),Japanese pumpkin (kabocha squash),Japanese pumpkin (kabocha squash),Japanese pumpkin (kabocha squash),Japanese pumpkin (kabocha squash),low,Quarter of a cup (30g),Half a cup (60g),low,low,low,low,low,low,low,low,
vegetables,Jicama,Jicama,Jicama,Jicama,Jicama,Jicama,low,Half a cup (70g),One cup (140g),low,low,low,low,low,low,low,low,Larger servings (300g or more) should be avoided
condiments,Kaffir lime leaves,Kaffir lime leaves,Kaffir lime leaves,Kaffir lime leaves,Kaffir lime leaves,Kaffir lime leaves,low,One leaf,Three leaves,low,low,low,low,low,low,low,low,
vegetables,Kai lan (gai lan),Gai lan (Chinese broccoli),Gai lan (Chinese broccoli),Gai lan (Chinese broccoli),Gai lan (Chinese broccoli),Kai lan (gai lan),low,Half a cup (34g),One cup (68g),low,low,low,low,low,low,low,low,Larger servings (286g or more) should be avoided
vegetables,Kale,Kale,Kale,Kale,Kale,Kale,low,Half a cup (68g),One cup (137g),low,low,low,low,low,low,low,low,
meat_fish_eggs,Kangaroo,Kangaroo,Kangaroo,Kangaroo,Kangaroo,Kangaroo,low,Half a small fillet (65g),One small fillet (125g),low,low,low,low,low,low,low,low,
dairy,Kefir,Kefir,Kefir,Kefir,Kefir,Kefir,high,100ml (100g),200ml (200g),low,low,low,high,low,low,low,high,
bread_cereal_rice_pasta,Kelp noodles (seaweed),Kelp noodles (seaweed),Kelp noodles (seaweed),Kelp noodles (seaweed),Kelp noodles (seaweed),Kelp noodles (seaweed),low,One cup (113g),n/a,low,low,low,low,n/a,n/a,n/a,n/a,
bread_cereal_rice_pasta,Khorasan (kamut) wholewheat flour,Khorasan (kamut) wholewheat flour,Khorasan (kamut) wholewheat flour,Khorasan (kamut) wholewheat flour,Khorasan (kamut) wholewheat flour,Khorasan (kamut) wholewheat flour,high,Two thirds of a cup (100g),n/a,high,low,low,low,n/a,n/a,n/a,n/a,
fruit,Kiwi fruit (gold),Kiwi fruit (gold),Kiwi fruit (gold),Kiwi fruit (gold),Kiwi fruit (gold),Kiwi fruit (gold),low,One small peeled kiwi fruit (75g),Two small peeled kiwi fruits (150g),low,low,low,low,low,low,low,low,
fruit,Kiwi fruit (green),Kiwi fruit (green),Kiwi fruit (green),Kiwi fruit (green),Kiwi fruit (green),Kiwi fruit (green),low,One small peeled kiwi fruit (75g),Two small peeled kiwi fruits (150g),low,low,low,low,low,low,low,low,Larger servings (286g or more) should be avoided
vegetables,Kohlrabi (German turnip / turnip cabbage),Kohlrabi (German turnip / turnip cabbage),Kohlrabi (German turnip / turnip cabbage),Kohlrabi (German turnip / turnip cabbage),Kohlrabi (German turnip / turnip cabbage),Kohlrabi (German turnip / turnip cabbage),low,One cup (135g),n/a,low,low,low,low,n/a,n/a,n/a,n/a,
drinks,Kombucha tea,Kombucha tea,Kombucha tea,Kombucha tea,Kombucha tea,Kombucha tea,high,One teacup (180ml),One mug (250ml),low,low,low,low,high,low,low,low,
fruit,Kumquats (peeled),Kumquats (peeled),Kumquats (peeled),Cumquats (peeled),Kumquats (peeled),Kumquats (peeled),low,Two fruits (38g),Four fruits (76g),low,low,low,low,low,low,low,low,Larger servings (ten fruits or more) should be avoided
fruit,Kumquats (unpeeled),Kumquats (unpeeled),Kumquats (unpeeled),Cumquats (unpeeled),Kumquats (unpeeled),Kumquats (unpeeled),low,Two fruits (44g),Four fruits (88g),low,low,low,low,low,low,low,low,Larger servings (twelve fruits or more) should be avoided
drinks,Kvass,Kvass,Kvass,Kvass,Kvass,Kvass,low,Half a cup (125g),One cup (250g),low,low,low,low,low,low,low,low,
meat_fish_eggs,Lamb,Lamb,Lamb,Lamb,Lamb,Lamb,low,Half a small fillet (65g),One small fillet (125g),low,low,low,low,low,low,low,low,
vegetables,Leek,Leek,Leek,Leek,Leek,Leek,high,Half a leek (42g),One leek (83g),medium,low,low,low,high,low,low,low,
vegetables,Leek (bulb),Leek (bulb),Leek (bulb),Leek (bulb),Leek (bulb),Leek (bulb),high,Quarter of a cup (22g),Half a cup (44g),high,low,low,low,high,low,low,low,
vegetables,Leek (leaves),Leek (leaves),Leek (leaves),Leek (leaves),Leek (leaves),Leek (leaves),low,Quarter of a cup (14g),Half a cup (28g),low,low,low,low,low,low,low,low,Larger servings (85g or more) should be avoided
fruit,Lemon juice,Lemon juice,Lemon juice,Lemon juice,Lemon juice,Lemon juice,low,Half a teaspoon (3g),One teaspoon (6g),low,low,low,low,low,low,low,low,
condiments,Lemongrass,Lemongrass,Lemongrass,Lemongrass,Lemongrass,Lemongrass,low,Half a 10cm stalk (25g),One 10cm stalk (50g),low,low,low,low,low,low,low,low,
nuts_seeds,Lentil burger,Lentil burger,Lentil burger,Lentil burger,Lentil burger,Lentil burger,high,Half burger patty (62g),One burger patty (125g),high,low,low,low,high,low,low,low,
nuts_seeds,Lentils (canned),Lentils (canned),Lentils (canned),Lentils (canned),Lentils (canned),Lentils (canned),low,Quarter of a cup (23g),Half a cup (46g),low,low,low,low,low,low,low,low,
nuts_seeds,"Lentils (green\\\\, boiled)","Lentils (green\\\\, boiled)","Lentils (green\\\\, boiled)","Lentils (green\\\\, boiled)","Lentils (green\\\\, boiled)","Lentils (green\\\\, boiled)",medium,Quarter of a cup (23g),Half a cup (46g),low,low,low,low,medium,low,low,low,
nuts_seeds,"Lentils (red\\\\, boiled)","Lentils (red\\\\, boiled)","Lentils (red\\\\, boiled)","Lentils (red\\\\, boiled)","Lentils (red\\\\, boiled)","Lentils (red\\\\, boiled)",medium,Quarter of a cup (23g),Half a cup (46g),low,low,low,low,medium,low,low,low,
vegetables,Lettuce (butterhead),Lettuce (butter),Lettuce (butter),Lettuce (butter),Lettuce (butter),Lettuce (butterhead),low,Half a cup (17g),One cup (35g),low,low,low,low,low,low,low,low,
vegetables,Lettuce (cos / romaine),Lettuce (cos / romaine),Lettuce (cos / romaine),Lettuce (cos / romaine),Lettuce (cos / romaine),Lettuce (cos / romaine),low,One cup (45g),One head of lettuce (170g),low,low,low,low,low,low,low,low,
vegetables,Lettuce (iceberg),Lettuce (iceberg),Lettuce (iceberg),Lettuce (iceberg),Lettuce (iceberg),Lettuce (iceberg),low,Half a cup (36g),One cup (72g),low,low,low,low,low,low,low,low,
vegetables,Lettuce (radicchio),Lettuce (radicchio),Lettuce (radicchio),Lettuce (radicchio),Lettuce (radicchio),Lettuce (radicchio),low,Half a cup (17g),One cup (35g),low,low,low,low,low,low,low,low,Larger servings (182g or more) should be avoided
vegetables,Lettuce (red coral),Lettuce (red coral),Lettuce (red coral),Lettuce (red coral),Lettuce (red coral),Lettuce (red coral),low,Half a cup (17g),One cup (35g),low,low,low,low,low,low,low,low,
fruit,Lime juice,Lime juice,Lime juice,Lime juice,Lime juice,Lime juice,low,Half a teaspoon (3g),One teaspoon (6g),low,low,low,low,low,low,low,low,
fruit,Longan,Longan,Longan,Longan,Longan,Longan,medium,Five longans (15g),Ten longans (30g),low,low,low,low,low,low,medium,low,
vegetables,Lotus root (dried),Lotus root (dried),Lotus root (dried),Lotus root (dried),Lotus root (dried),Lotus root (dried),high,Quarter of a cup (33g),Half a cup (65g),low,high,low,low,high,high,low,low,
nuts_seeds,"LSA (linseed\\\\, sunflower\\\\, almond mix)","LSA (linseed\\\\, sunflower\\\\, almond mix)","LSA (linseed\\\\, sunflower\\\\, almond mix)","LSA (linseed\\\\, sunflower\\\\, almond mix)","LSA (linseed\\\\, sunflower\\\\, almond mix)","LSA (linseed\\\\, sunflower\\\\, almond mix)",low,Half a tablespoon (6g),One tablespoon (12g),low,low,low,low,low,low,low,low,Larger servings (36g or more) should be avoided
bread_cereal_rice_pasta,Lupin flour,Lupin flour,Lupin flour,Lupin flour,Lupin flour,Lupin flour,high,Two thirds of a cup (100g),n/a,high,low,low,low,n/a,n/a,n/a,n/a,
fruit,Lychee,Lychee,Lychee,Lychee,Lychee,Lychee,high,Five lychees (52g),Ten lychees (104g),low,low,medium,low,low,low,high,low,
nuts_seeds,Macadamia nuts,Macadamia nuts,Macadamia nuts,Macadamia nuts,Macadamia nuts,Macadamia nuts,low,Ten nuts (20g),Twenty nuts (40g),low,low,low,low,low,low,low,low,
bread_cereal_rice_pasta,Maize flour,Maize flour,Maize flour,Maize flour,Maize flour,Maize flour,low,Two thirds of a cup (100g),n/a,low,low,low,low,n/a,n/a,n/a,n/a,Make sure no high FODMAP ingredients have been added to flour mix
bread_cereal_rice_pasta,Maize starch,Maize starch,Maize starch,Maize starch,Maize starch,Maize starch,low,Two thirds of a cup (100g),n/a,low,low,low,low,n/a,n/a,n/a,n/a,Make sure no high FODMAP ingredients have been added
condiments,Malt vinegar,Malt vinegar,Malt vinegar,Malt vinegar,Malt vinegar,Malt vinegar,low,Two tablespoons (42g),n/a,low,low,low,low,n/a,n/a,n/a,n/a,
drinks,Malted chocolate drinking powder,Malted chocolate drinking powder,Malted chocolate drinking powder,Malted chocolate drinking powder,Malted chocolate drinking powder,Malted chocolate drinking powder,medium,One and a half heaped teaspoons (10g),Three heaped teaspoons (20g),low,low,low,low,low,low,low,medium,Larger servings (50g or more) should be avoided
fruit,Mandarin orange,Mandarin orange,Mandarin orange,Mandarin orange,Mandarin orange,Mandarin orange,low,One small mandarin (60g),Two small mandarins (125g),low,low,low,low,low,low,low,low,
vegetables,Mangetout,Snow peas,Snow peas,Snow peas,Snow peas,Mangetout,high,Five pods (17g),Ten pods (33g),low,low,low,low,high,low,high,low,
fruit,Mango,Mango,Mango,Mango,Mango,Mango,high,Half a mango (104g),One mango (207g),low,high,low,low,low,high,low,low,
fruit,Mango (dried),Mango (dried),Mango (dried),Mango (dried),Mango (dried),Mango (dried),high,Two strips (10g),Four strips (20g),high,low,low,low,high,low,low,low,
confectionery_sugars_sweeteners,Maple syrup,Maple syrup,Maple syrup,Maple syrup,Maple syrup,Maple syrup,low,Half a tablespoon (10g),One tablespoon (20g),low,low,low,low,low,low,low,low,
fats_oils,Margarine 70% fat (poly- or monounsaturated fat),Margarine 70% fat (poly- or monounsaturated fat),Margarine 70% fat (poly- or monounsaturated fat),Margarine 70% fat (poly- or monounsaturated fat),Margarine 70% fat (poly- or monounsaturated fat),Margarine 70% fat (poly- or monounsaturated fat),low,Half a tablespoon (9g),One tablespoon (19g),low,low,low,low,low,low,low,low,Fat can trigger symptoms when consumed in excess
condiments,Marmalade,Marmalade,Marmalade,Marmalade,Marmalade,Marmalade,low,One tablespoon (20g),Two tablespoons (40g),low,low,low,low,low,low,low,low,This applies to low FODMAP fruit marmalade sweetened with sucrose
fats_oils,Mayonnaise (low fat),Mayonnaise (low fat),Mayonnaise (low fat),Mayonnaise (low fat),Mayonnaise (low fat),Mayonnaise (low fat),low,One tablespoon (20g),Two tablespoons (40g),low,low,low,low,low,low,low,low,
fats_oils,Mayonnaise (regular fat),Mayonnaise (regular fat),Mayonnaise (regular fat),Mayonnaise (regular fat),Mayonnaise (regular fat),Mayonnaise (regular fat),low,One tablespoon (20g),Two tablespoons (40g),low,low,low,low,low,low,low,low,
dairy,Milk (A2),Milk (A2),Milk (A2),Milk (A2),Milk (A2),Milk (A2),high,Half a cup / 125ml (128g),One cup / 250ml (257g),low,low,low,high,low,low,low,high,
dairy,Milk (almond),Milk (almond),Milk (almond),Milk (almond),Milk (almond),Milk (almond),low,Half a cup / 125ml (120g),One cup / 250ml (240g),low,low,low,low,low,low,low,low,
dairy,Milk (coconut with inulin),Milk (coconut with inulin),Milk (coconut with inulin),Milk (coconut with inulin),Milk (coconut with inulin),Milk (coconut with inulin),high,Half a cup / 125ml (120g),One cup / 250ml (240g),high,low,low,low,high,low,low,low,
dairy,"Milk (coconut\\\\, canned for cooking)","Milk (coconut\\\\, canned for cooking)","Milk (coconut\\\\, canned for cooking)","Milk (coconut\\\\, canned for cooking)","Milk (coconut\\\\, canned for cooking)","Milk (coconut\\\\, canned for cooking)",low,Sixth of a cup (40g),Third of a cup (80g),low,low,low,low,low,low,low,low,Larger servings (120g or more) should be avoided
dairy,"Milk (coconut\\\\, long life UHT)","Milk (coconut\\\\, long life UHT)","Milk (coconut\\\\, long life UHT)","Milk (coconut\\\\, long life UHT)","Milk (coconut\\\\, long life UHT)","Milk (coconut\\\\, long life UHT)",medium,Half a cup / 125ml (120g),One cup / 250ml (240g),low,low,low,low,low,low,medium,low,
dairy,"Milk (condensed\\\\, sweetened)","Milk (condensed\\\\, sweetened)","Milk (condensed\\\\, sweetened)","Milk (condensed\\\\, sweetened)","Milk (condensed\\\\, sweetened)","Milk (condensed\\\\, sweetened)",high,Quarter of a cup (81g),Half a cup (161g),low,low,low,high,low,low,low,high,
dairy,Milk (cow's semi-skimmed milk),Milk (cow's reduced fat milk),Milk (cow's reduced fat milk),Milk (cow's reduced fat milk),Milk (cow's reduced fat milk),Milk (cow's semi-skimmed milk),high,Half a cup / 125ml (128g),One cup / 250ml (257g),low,low,low,high,low,low,low,high,
dairy,Milk (cow's skimmed milk),Milk (cow's skim milk),Milk (cow's skim milk),Milk (cow's skim milk),Milk (cow's skim milk),Milk (cow's skimmed milk),high,Half a cup / 125ml (128g),One cup / 250ml (257g),low,low,low,high,low,low,low,high,
dairy,Milk (cow's whole milk / full cream),Milk (cow's whole milk / full cream),Milk (cow's whole milk / full cream),Milk (cow's whole milk / full cream),Milk (cow's whole milk / full cream),Milk (cow's whole milk / full cream),high,Half a cup / 125ml (128g),One cup / 250ml (257g),low,low,low,high,low,low,low,high,
dairy,Milk (evaporated),Milk (evaporated),Milk (evaporated),Milk (evaporated),Milk (evaporated),Milk (evaporated),high,Half a cup / 125ml (128g),One cup / 250ml (257g),low,low,low,high,low,low,low,high,
dairy,Milk (goat's whole milk / full cream),Milk (goat's whole milk / full cream),Milk (goat's whole milk / full cream),Milk (goat's whole milk / full cream),Milk (goat's whole milk / full cream),Milk (goat's whole milk / full cream),high,Half a cup / 125ml (128g),One cup / 250ml (257g),low,low,low,high,low,low,low,high,
dairy,Milk (lactose free),Milk (lactose free),Milk (lactose free),Milk (lactose free),Milk (lactose free),Milk (lactose free),low,Half a cup / 125ml (128g),One cup / 250ml (257g),low,low,low,low,low,low,low,low,
dairy,Milk (macadamia),Milk (macadamia),Milk (macadamia),Milk (macadamia),Milk (macadamia),Milk (macadamia),low,Half a cup / 125ml (120g),One cup / 250ml (240g),low,low,low,low,low,low,low,low,
dairy,Milk (oat),Milk (oat),Milk (oat),Milk (oat),Milk (oat),Milk (oat),high,One cup / 250ml (250g),n/a,high,low,low,low,n/a,n/a,n/a,n/a,
dairy,"Milk (quinoa\\\\, unsweetened)","Milk (quinoa\\\\, unsweetened)","Milk (quinoa\\\\, unsweetened)","Milk (quinoa\\\\, unsweetened)","Milk (quinoa\\\\, unsweetened)","Milk (quinoa\\\\, unsweetened)",low,Half a cup / 125ml (120g),One cup / 250ml (240g),low,low,low,low,low,low,low,low,
dairy,Milk (rice),Milk (rice),Milk (rice),Milk (rice),Milk (rice),Milk (rice),low,Half a cup / 125ml (125g),Three quarters of a cup / 200ml (200g),low,low,low,low,low,low,low,low,Larger servings (250ml or more) should be avoided
dairy,Milk (soy beans),Milk (soy beans),Milk (soy beans),Milk (soy beans),Milk (soy beans),Milk (soy beans),high,Half a cup / 125ml (128g),One cup / 250ml (257g),high,low,low,low,high,low,low,low,
dairy,Milk (soy protein),Milk (soy protein),Milk (soy protein),Milk (soy protein),Milk (soy protein),Milk (soy protein),low,Half a cup / 125ml (128g),One cup / 250ml (257g),low,low,low,low,low,low,low,low,
bread_cereal_rice_pasta,Millet flour,Millet flour,Millet flour,Millet flour,Millet flour,Millet flour,low,Two thirds of a cup (100g),n/a,low,low,low,low,n/a,n/a,n/a,n/a,Make sure no high FODMAP ingredients have been added to flour mix
condiments,Mint (fresh),Mint (fresh),Mint (fresh),Mint (fresh),Mint (fresh),Mint (fresh),low,Half a bundle (45g),One bundle (90g),low,low,low,low,low,low,low,low,
condiments,Mint jelly,Mint jelly,Mint jelly,Mint jelly,Mint jelly,Mint jelly,low,Half a tablespoon (10g),One tablespoon (20g),low,low,low,low,low,low,low,low,
condiments,Mint sauce (thick),Mint sauce (thick),Mint sauce (thick),Mint sauce (thick),Mint sauce (thick),Mint sauce (thick),low,Half a tablespoon (10g),One tablespoon (20g),low,low,low,low,low,low,low,low,
condiments,Mint sauce (thin),Mint sauce (thin),Mint sauce (thin),Mint sauce (thin),Mint sauce (thin),Mint sauce (thin),low,Half a tablespoon (10g),One tablespoon (20g),low,low,low,low,low,low,low,low,
condiments,Miso paste,Miso paste,Miso paste,Miso paste,Miso paste,Miso paste,low,One sachet (6g),Two sachets (12g),low,low,low,low,low,low,low,low,Larger servings (75g or more) should be avoided
condiments,Mixed berry jam,Mixed berry jam,Mixed berry jam,Mixed berry jam,Mixed berry jam,Mixed berry jam,high,One tablespoon (20g),Two tablespoons (40g),low,low,medium,low,low,low,high,low,
nuts_seeds,Mixed nuts,Mixed nuts,Mixed nuts,Mixed nuts,Mixed nuts,Mixed nuts,low,Nine assorted nuts (18g),Eighteen assorted nuts (36g),low,low,low,low,low,low,low,low,Larger servings may contain high FODMAPs depending on nuts used
fruit,Mixed peel citrus fruit,Mixed peel citrus fruit,Mixed peel citrus fruit,Mixed peel citrus fruit,Mixed peel citrus fruit,Mixed peel citrus fruit,low,Third of a cup (50g),n/a,low,low,low,low,n/a,n/a,n/a,n/a,
confectionery_sugars_sweeteners,Molasses syrup,Molasses syrup,Molasses syrup,Molasses syrup,Molasses syrup,Molasses syrup,high,One teaspoon (5g),One tablespoon (20g),low,low,low,low,high,high,low,low,
bread_cereal_rice_pasta,"Muesli (gluten\\\\, wheat\\\\, dairy and nut free)","Muesli (gluten\\\\, wheat\\\\, dairy and nut free)","Muesli (gluten\\\\, wheat\\\\, dairy and nut free)","Muesli (gluten\\\\, wheat\\\\, dairy and nut free)","Muesli (gluten\\\\, wheat\\\\, dairy and nut free)","Muesli (gluten\\\\, wheat\\\\, dairy and nut free)",high,Quarter of a cup (25g),Half a cup (50g),high,low,medium,low,high,low,high,low,
bread_cereal_rice_pasta,Muesli (plain),Muesli (plain),Muesli (plain),Muesli (plain),Muesli (plain),Muesli (plain),high,Quarter of a cup (28g),Half a cup (55g),high,low,low,low,high,low,low,low,
