Category,Food name en_GB,Food name en_US,Food name en_CA,Food name en_AU,Food name en_NZ,Food name en_IE,Overall status,Small portion desc,Large portion desc,Small portion oligos,Small portion fructose,Small portion polyols,Small portion lactose,Large portion oligos,Large portion fructose,Large portion polyols,Large portion lactose,Notes
drinks,Coffee (espresso with soy bean milk),Coffee (espresso with soy bean milk),Coffee (espresso with soy bean milk),Coffee (espresso with soy bean milk),Coffee (espresso with soy bean milk),Coffee (espresso with soy bean milk),high,30ml single shot with 220ml milk (250g),60ml double shot with 190ml milk (250g),high,low,low,low,high,low,low,low,Caffeine can trigger symptoms when consumed in excess
drinks,"Coffee (espresso\\\\, black)","Coffee (espresso\\\\, black)","Coffee (espresso\\\\, black)","Coffee (espresso\\\\, black)","Coffee (espresso\\\\, black)","Coffee (espresso\\\\, black)",low,30ml single shot (30g),60ml double shot (60g),low,low,low,low,low,low,low,low,Caffeine can trigger symptoms when consumed in excess
drinks,"Coffee (espresso\\\\, decaf with cow's milk)","Coffee (espresso\\\\, decaf with cow's milk)","Coffee (espresso\\\\, decaf with cow's milk)","Coffee (espresso\\\\, decaf with cow's milk)","Coffee (espresso\\\\, decaf with cow's milk)","Coffee (espresso\\\\, decaf with cow's milk)",high,30ml single shot with 220ml milk (250g),60ml double shot with 190ml milk (250g),low,low,low,high,low,low,low,high,
drinks,"Coffee (espresso\\\\, decaf with low FODMAP milk)","Coffee (espresso\\\\, decaf with low FODMAP milk)","Coffee (espresso\\\\, decaf with low FODMAP milk)","Coffee (espresso\\\\, decaf with low FODMAP milk)","Coffee (espresso\\\\, decaf with low FODMAP milk)","Coffee (espresso\\\\, decaf with low FODMAP milk)",low,30ml single shot with 220ml milk (250g),60ml double shot with 190ml milk (250g),low,low,low,low,low,low,low,low,This is low FODMAP if lactose free milk or soy milk (from soy protein) is used
drinks,"Coffee (espresso\\\\, decaf with soy bean milk)","Coffee (espresso\\\\, decaf with soy bean milk)","Coffee (espresso\\\\, decaf with soy bean milk)","Coffee (espresso\\\\, decaf with soy bean milk)","Coffee (espresso\\\\, decaf with soy bean milk)","Coffee (espresso\\\\, decaf with soy bean milk)",high,30ml single shot with 220ml milk (250g),60ml double shot with 190ml milk (250g),high,low,low,low,high,low,low,low,
drinks,"Coffee (espresso\\\\, decaf\\\\, black)","Coffee (espresso\\\\, decaf\\\\, black)","Coffee (espresso\\\\, decaf\\\\, black)","Coffee (espresso\\\\, decaf\\\\, black)","Coffee (espresso\\\\, decaf\\\\, black)","Coffee (espresso\\\\, decaf\\\\, black)",low,30ml single shot (30g),60ml double shot (60g),low,low,low,low,low,low,low,low,
drinks,Coffee (instant with cow's milk),Coffee (instant with cow's milk),Coffee (instant with cow's milk),Coffee (instant with cow's milk),Coffee (instant with cow's milk),Coffee (instant with cow's milk),high,One heaped teaspoon with 100ml milk (102g),Two heaped teaspoons with 100ml milk (104g),low,low,low,high,low,low,low,high,Caffeine can trigger symptoms when consumed in excess
drinks,Coffee (instant with low FODMAP milk),Coffee (instant with low FODMAP milk),Coffee (instant with low FODMAP milk),Coffee (instant with low FODMAP milk),Coffee (instant with low FODMAP milk),Coffee (instant with low FODMAP milk),low,One heaped teaspoon with 100ml milk (102g),Two heaped teaspoons with 100ml milk (104g),low,low,low,low,low,low,low,low,This is low FODMAP if lactose free milk or soy milk (from soy protein) is used; caffeine can trigger symptoms when consumed in excess
drinks,Coffee (instant with soy bean milk),Coffee (instant with soy bean milk),Coffee (instant with soy bean milk),Coffee (instant with soy bean milk),Coffee (instant with soy bean milk),Coffee (instant with soy bean milk),high,One heaped teaspoon with 100ml milk (102g),Two heaped teaspoons with 100ml milk (104g),high,low,low,low,high,low,low,low,Caffeine can trigger symptoms when consumed in excess
drinks,"Coffee (instant\\\\, black)","Coffee (instant\\\\, black)","Coffee (instant\\\\, black)","Coffee (instant\\\\, black)","Coffee (instant\\\\, black)","Coffee (instant\\\\, black)",low,One heaped teaspoon (2g),Two heaped teaspoons (4g),low,low,low,low,low,low,low,low,Caffeine can trigger symptoms when consumed in excess
drinks,"Coffee (instant\\\\, decaf with cow's milk)","Coffee (instant\\\\, decaf with cow's milk)","Coffee (instant\\\\, decaf with cow's milk)","Coffee (instant\\\\, decaf with cow's milk)","Coffee (instant\\\\, decaf with cow's milk)","Coffee (instant\\\\, decaf with cow's milk)",high,One heaped teaspoon with 100ml milk (102g),Two heaped teaspoons with 100ml milk (104g),low,low,low,high,low,low,low,high,
drinks,"Coffee (instant\\\\, decaf with low FODMAP milk)","Coffee (instant\\\\, decaf with low FODMAP milk)","Coffee (instant\\\\, decaf with low FODMAP milk)","Coffee (instant\\\\, decaf with low FODMAP milk)","Coffee (instant\\\\, decaf with low FODMAP milk)","Coffee (instant\\\\, decaf with low FODMAP milk)",low,One heaped teaspoon with 100ml milk (102g),Two heaped teaspoons with 100ml milk (104g),low,low,low,low,low,low,low,low,This is low FODMAP if lactose free milk or soy milk (from soy protein) is used
